"","TrainNo","AvgDelay"
"1574","74937",0
"1575","74938",0
"1576","74939",0
"1577","74940",0
"1578","74941",0
"1579","74942",0
"1580","74943",0
"1581","74944",0
"1582","74945",0
"1583","74946",0
"1584","74947",0
"1585","74948",0
"1586","74951",0
"1587","74952",0
"1588","74954",0
"1589","74962",0
"1590","74963",0
"1591","74972",0
"1592","74975",0
"1593","74978",0
"1594","74982",0
"1595","74983",0
"1596","74985",0
"1597","74986",0
"1598","74988",0
"1599","75719",0
"1600","75720",0
"1601","76503",0
"1602","76504",0
"1603","76505",0
"1604","76506",0
"1605","77216",0
"1606","77219",0
"1607","77221",0
"1608","77222",0
"1609","77223",0
"1610","77224",0
"1611","77225",0
"1612","77226",0
"1613","77227",0
"1614","77228",0
"1615","77229",0
"1616","77230",0
"1617","77231",0
"1618","77235",0
"1619","77238",0
"1620","77239",0
"1621","77255",0
"1622","77256",0
"1623","77261",0
"1624","77265",0
"1625","77269",0
"1626","77271",0
"1627","77272",0
"1628","77601",0
"1629","77602",0
"1630","77605",0
"1631","77606",0
"1632","77607",0
"1633","77608",0
"1634","77609",0
"1635","77610",0
"1636","77616",0
"1637","77619",0
"1638","77630",0
"1639","77631",0
"1640","77632",0
"1641","77633",0
"1642","77634",0
"1643","77635",0
"1644","77638",0
"1645","77640",0
"1646","77641",0
"1647","77642",0
"1648","77643",0
"1649","77645",0
"1650","77647",0
"1651","77649",0
"1652","77671",0
